resource_type,address,display_name,group,subpath,disposition,disposition_reason,notes,status_registered,status_slug,status_cataloged,status_egeria_link,status_last_surveyed_at,status_last_published_at,status_lifecycle,status_indexed
repo,https://github.com/apache/polaris,apache/polaris,,,investigating,,,yes,polaris,yes,ok,2026-08-18T08:37:52.268774,2026-08-18T08:37:53.042884,active,no
repo,https://github.com/cncf/cnf-certification,cncf/cnf-certification,,,ignored,Nothing here,,yes,cnf_certification,yes,ok,2026-08-14T15:51:16.577936,2026-08-14T15:50:56.231483,active,no
repo,https://github.com/docling-project/docling,docling-project/docling,docling_project,,using,,,yes,docling,yes,ok,2026-08-21T00:50:46.572125,2026-08-21T01:07:26.316985,active,no
repo,https://github.com/docling-project/docling-agent,docling-project/docling-agent,docling_project,,,,,yes,docling_agent,no,ok,,,active,no
repo,https://github.com/docling-project/docling-core,docling-project/docling-core,docling_project,,tracking,,,yes,docling_core,yes,ok,2026-08-21T15:46:52.571435,2026-08-21T15:25:55.015094,active,no
repo,https://github.com/docling-project/docling-eval,docling-project/docling-eval,docling_project,,,,,yes,docling_eval,no,ok,,,active,no
repo,https://github.com/docling-project/docling-graph,docling-project/docling-graph,docling_project,,,,,yes,docling_graph,no,ok,,,active,no
repo,https://github.com/docling-project/docling-ibm-models,docling-project/docling-ibm-models,docling_project,,,,,yes,docling_ibm_models,no,ok,,,active,no
repo,https://github.com/docling-project/docling-java,docling-project/docling-java,docling_project,,,,,yes,docling_java,no,ok,,,active,no
repo,https://github.com/docling-project/docling-langchain,docling-project/docling-langchain,docling_project,,,,,yes,docling_langchain,no,ok,,,active,no
repo,https://github.com/docling-project/docling-mcp,docling-project/docling-mcp,docling_project,,,,,yes,docling_mcp,no,ok,,,active,no
repo,https://github.com/docling-project/docling-nlp,docling-project/docling-nlp,docling_project,,,,,yes,docling_nlp,no,ok,,,active,no
repo,https://github.com/docling-project/docling-parse,docling-project/docling-parse,docling_project,,,,,yes,docling_parse,no,ok,,,active,no
repo,https://github.com/docling-project/docling-sdg,docling-project/docling-sdg,docling_project,,,,,yes,docling_sdg,no,ok,,,active,no
repo,https://github.com/docling-project/docling-serve,docling-project/docling-serve,docling_project,,,,,yes,docling_serve,no,ok,,,active,no
repo,https://github.com/odpi/egeria.git,egeria,egeria,,using,,,yes,egeria_git,yes,ok,2026-08-20T09:30:21.728449,2026-08-10T19:33:16.912038,active,yes
repo,https://github.com/dwolfson/egeria-advisor.git,egeria-advisor,,,,,,yes,egeria_advisor_git,yes,ok,2026-08-10T16:03:28.601103,,active,yes
repo,https://github.com/odpi/egeria-docs,egeria-docs,egeria,,investigating,,,yes,egeria_docs,yes,ok,2026-08-20T19:19:10.223213,2026-08-10T16:16:01.272024,active,yes
repo,https://github.com/odpi/egeria-python.git,egeria-python,egeria,,,,,yes,egeria_python_git,yes,ok,2026-08-21T19:34:21.116006,2026-08-18T06:32:13.295146,active,yes
repo,https://github.com/odpi/egeria-workspaces.git,egeria-workspaces,egeria,,tracking,,,yes,egeria_workspaces_git,yes,ok,2026-08-18T06:08:26.375103,2026-08-18T06:08:27.349491,active,yes
repo,https://github.com/getindata/kedro-kubeflow,getindata/kedro-kubeflow,kedro,,,,,yes,kedro_kubeflow,no,ok,2026-08-14T07:38:15.789107,,active,no
repo,https://github.com/kedro-org/awesome-kedro,kedro-org/awesome-kedro,kedro,,,,,yes,awesome_kedro,no,ok,,,active,no
repo,https://github.com/kedro-org/kedro-plugins,kedro-org/kedro-plugins,kedro,,,,,yes,kedro_plugins,no,ok,2026-08-20T19:20:15.284130,,active,no
repo,https://github.com/kedro-org/kedro-starters,kedro-org/kedro-starters,kedro,,,,,yes,kedro_starters,no,ok,,,active,no
repo,https://github.com/kedro-org/kedro-viz,kedro-org/kedro-viz,kedro,,,,,yes,kedro_viz,no,ok,,,active,no
repo,https://github.com/odpi/trellis,odpi/trellis,egeria,,tracking,,,yes,trellis,yes,ok,2026-08-19T20:49:26.381634,2026-08-11T00:40:00.237260,active,no
repo,https://github.com/OpenLineage/artwork,OpenLineage/artwork,openlineage,,,,,yes,artwork,no,ok,2026-08-20T07:40:19.034706,,active,no
repo,https://github.com/OpenLineage/metrics,OpenLineage/metrics,openlineage,,,,,yes,metrics,no,ok,,,active,no
repo,https://github.com/OpenLineage/ol-diff,OpenLineage/ol-diff,openlineage,,,,,yes,ol_diff,no,ok,,,active,no
repo,https://github.com/OpenLineage/OpenLineage,OpenLineage/OpenLineage,openlineage,,,,,yes,openlineage,yes,ok,2026-08-18T10:14:05.777634,2026-08-18T10:14:06.717992,active,yes
repo,https://github.com/OpenLineage/openlineage-site,OpenLineage/openlineage-site,openlineage,,,,,yes,openlineage_site,no,ok,,,active,no
repo,https://github.com/OpenLineage/slack-archives,OpenLineage/slack-archives,openlineage,,,,,yes,slack_archives,no,ok,,,active,no
repo,https://github.com/OpenLineage/workshops,OpenLineage/workshops,openlineage,,,,,yes,workshops,no,ok,,,active,no
repo,https://github.com/tobymao/sqlglot,sqlglot,,,tracking,,,yes,sqlglot,no,ok,2026-08-20T19:40:07.840614,,active,yes
repo,https://github.com/unitycatalog/unitycatalog,unitycatalog/unitycatalog,unitycatalog,,,,,yes,unitycatalog,yes,ok,2026-08-19T09:59:51.544018,2026-08-19T09:59:52.994055,active,no
repo,https://github.com/unitycatalog/unitycatalog-python,unitycatalog/unitycatalog-python,unitycatalog,,tracking,,,yes,unitycatalog_python,no,ok,2026-08-20T19:26:23.150535,,active,no
repo,https://github.com/unitycatalog/unitycatalog-rs,unitycatalog/unitycatalog-rs,unitycatalog,,,,,yes,unitycatalog_rs,no,ok,,,active,no
database,localhost:5442/coco_ods,coco_ods @ local-docker,,,,,,yes,localhost_docker_coco_ods,yes,ok,2026-08-21T00:33:12.232858,,active,
database,localhost:5442/coco_pharma,coco_pharma @ local-docker,,,,,,yes,localhost_docker_coco_pharma,no,ok,,,active,
repo,https://github.com/milvus-io/milvus,Milvus,,,,,,,,,,,,,
repo,https://github.com/amundsen-io/amundsen,Amundsen,,,,,,,,,,,,,
repo,https://github.com/data-prep-kit/data-prep-kit,Data-Prep-Kit,,,,,,,,,,,,,
repo,https://github.com/project-ryoma/ryoma,RYOMA,,,,,,,,,,,,,
repo,https://github.com/monocle2ai/monocle,Monocle,,,,,,,,,,,,,
repo,https://github.com/deepcausality-rs/deep_causality,DeepCausality,,,,,,,,,,,,,
repo,https://github.com/opea-project,OPEA,,,,,,,,,,,,,
repo,https://github.com/MarquezProject/marquez,Marquez,,,,,,,,,,,,,
repo,,,,,,,,,,,,,,,
